# t K U E
0 0.00011113 71.1266 71.1267
0.001 0.000444442 71.1263 71.1267
0.002 0.000999703 71.1257 71.1267
0.003 0.00177652 71.1249 71.1267
0.004 0.00277437 71.1239 71.1267
0.005 0.00399253 71.1227 71.1267
0.006 0.00543017 71.1213 71.1267
0.007 0.00708628 71.1196 71.1267
0.008 0.00895973 71.1178 71.1267
0.009 0.0110492 71.1157 71.1267
0.01 0.0133533 71.1134 71.1267
0.011 0.0158705 71.1108 71.1267
0.012 0.0185989 71.1081 71.1267
0.013 0.0215368 71.1052 71.1267
0.014 0.0246823 71.102 71.1267
0.015 0.0280331 71.0987 71.1267
0.016 0.0315871 71.0951 71.1267
0.017 0.0353419 71.0914 71.1267
0.018 0.0392951 71.0874 71.1267
0.019 0.0434441 71.0833 71.1267
0.02 0.0477862 71.0789 71.1267
0.021 0.0523187 71.0744 71.1267
0.022 0.0570387 71.0697 71.1267
0.023 0.0619432 71.0648 71.1267
0.024 0.0670291 71.0597 71.1267
0.025 0.0722935 71.0544 71.1267
0.026 0.0777331 71.049 71.1267
0.027 0.0833445 71.0434 71.1267
0.028 0.0891246 71.0376 71.1267
0.029 0.0950699 71.0316 71.1267
0.03 0.101177 71.0255 71.1267
0.031 0.107442 71.0193 71.1267
0.032 0.113863 71.0129 71.1267
0.033 0.120434 71.0063 71.1267
0.034 0.127153 70.9996 71.1267
0.035 0.134016 70.9927 71.1267
0.036 0.14102 70.9857 71.1267
0.037 0.14816 70.9786 71.1267
0.038 0.155434 70.9713 71.1267
0.039 0.162837 70.9639 71.1267
0.04 0.170366 70.9563 71.1267
0.041 0.178017 70.9487 71.1267
0.042 0.185787 70.9409 71.1267
0.043 0.193672 70.933 71.1267
0.044 0.201669 70.925 71.1267
0.045 0.209773 70.9169 71.1267
0.046 0.217981 70.9087 71.1267
0.047 0.226291 70.9004 71.1267
0.048 0.234698 70.892 71.1267
0.049 0.243198 70.8835 71.1267
0.05 0.25179 70.8749 71.1267
0.051 0.260469 70.8662 71.1267
0.052 0.269231 70.8575 71.1267
0.053 0.278075 70.8486 71.1267
0.054 0.286996 70.8397 71.1267
0.055 0.295991 70.8307 71.1267
0.056 0.305059 70.8217 71.1267
0.057 0.314194 70.8125 71.1267
0.058 0.323395 70.8033 71.1267
0.059 0.332659 70.7941 71.1267
0.06 0.341983 70.7847 71.1267
0.061 0.351364 70.7753 71.1267
0.062 0.3608 70.7659 71.1267
0.063 0.370288 70.7564 71.1267
0.064 0.379825 70.7469 71.1267
0.065 0.389409 70.7373 71.1267
0.066 0.399038 70.7277 71.1267
0.067 0.40871 70.718 71.1267
0.068 0.418422 70.7083 71.1267
0.069 0.428172 70.6985 71.1267
0.07 0.437959 70.6888 71.1267
0.071 0.447779 70.6789 71.1267
0.072 0.457632 70.6691 71.1267
0.073 0.467515 70.6592 71.1267
0.074 0.477427 70.6493 71.1267
0.075 0.487366 70.6393 71.1267
0.076 0.497331 70.6294 71.1267
0.077 0.507319 70.6194 71.1267
0.078 0.51733 70.6094 71.1267
0.079 0.527362 70.5993 71.1267
0.08 0.537413 70.5893 71.1267
0.081 0.547483 70.5792 71.1267
0.082 0.557571 70.5691 71.1267
0.083 0.567674 70.559 71.1267
0.084 0.577793 70.5489 71.1267
0.085 0.587925 70.5388 71.1267
0.086 0.598071 70.5286 71.1267
0.087 0.608229 70.5185 71.1267
0.088 0.618399 70.5083 71.1267
0.089 0.628579 70.4981 71.1267
0.09 0.638769 70.4879 71.1267
0.091 0.648968 70.4777 71.1267
0.092 0.659176 70.4675 71.1267
0.093 0.669391 70.4573 71.1267
0.094 0.679615 70.4471 71.1267
0.095 0.689845 70.4369 71.1267
0.096 0.700082 70.4266 71.1267
0.097 0.710326 70.4164 71.1267
0.098 0.720575 70.4061 71.1267
0.099 0.73083 70.3959 71.1267
0.1 0.74109 70.3856 71.1267
0.101 0.751355 70.3754 71.1267
0.102 0.761625 70.3651 71.1267
0.103 0.771899 70.3548 71.1267
0.104 0.782179 70.3445 71.1267
0.105 0.792462 70.3342 71.1267
0.106 0.80275 70.324 71.1267
0.107 0.813043 70.3137 71.1267
0.108 0.823339 70.3034 71.1267
0.109 0.83364 70.2931 71.1267
0.11 0.843945 70.2828 71.1267
0.111 0.854255 70.2725 71.1267
0.112 0.864569 70.2621 71.1267
0.113 0.874887 70.2518 71.1267
0.114 0.885211 70.2415 71.1267
0.115 0.895538 70.2312 71.1267
0.116 0.905871 70.2208 71.1267
0.117 0.916209 70.2105 71.1267
0.118 0.926552 70.2002 71.1267
0.119 0.9369 70.1898 71.1267
0.12 0.947255 70.1795 71.1267
0.121 0.957614 70.1691 71.1267
0.122 0.96798 70.1587 71.1267
0.123 0.978353 70.1484 71.1267
0.124 0.988732 70.138 71.1267
0.125 0.999117 70.1276 71.1267
0.126 1.00951 70.1172 71.1267
0.127 1.01991 70.1068 71.1267
0.128 1.03032 70.0964 71.1267
0.129 1.04073 70.086 71.1267
0.13 1.05116 70.0756 71.1267
0.131 1.06159 70.0651 71.1267
0.132 1.07203 70.0547 71.1267
0.133 1.08248 70.0442 71.1267
0.134 1.09294 70.0338 71.1267
0.135 1.10341 70.0233 71.1267
0.136 1.1139 70.0128 71.1267
0.137 1.12439 70.0023 71.1267
0.138 1.13489 69.9918 71.1267
0.139 1.1454 69.9813 71.1267
0.14 1.15593 69.9708 71.1267
0.141 1.16647 69.9602 71.1267
0.142 1.17702 69.9497 71.1267
0.143 1.18758 69.9391 71.1267
0.144 1.19816 69.9286 71.1267
0.145 1.20875 69.918 71.1267
0.146 1.21935 69.9074 71.1267
0.147 1.22997 69.8967 71.1267
0.148 1.24061 69.8861 71.1267
0.149 1.25126 69.8755 71.1267
0.15 1.26192 69.8648 71.1267
0.151 1.27261 69.8541 71.1267
0.152 1.2833 69.8434 71.1267
0.153 1.29402 69.8327 71.1267
0.154 1.30475 69.822 71.1267
0.155 1.31551 69.8112 71.1267
0.156 1.32628 69.8004 71.1267
0.157 1.33706 69.7896 71.1267
0.158 1.34787 69.7788 71.1267
0.159 1.3587 69.768 71.1267
0.16 1.36955 69.7572 71.1267
0.161 1.38042 69.7463 71.1267
0.162 1.39131 69.7354 71.1267
0.163 1.40223 69.7245 71.1267
0.164 1.41316 69.7135 71.1267
0.165 1.42412 69.7026 71.1267
0.166 1.43511 69.6916 71.1267
0.167 1.44611 69.6806 71.1267
0.168 1.45714 69.6696 71.1267
0.169 1.4682 69.6585 71.1267
0.17 1.47928 69.6474 71.1267
0.171 1.49039 69.6363 71.1267
0.172 1.50152 69.6252 71.1267
0.173 1.51269 69.614 71.1267
0.174 1.52388 69.6028 71.1267
0.175 1.53509 69.5916 71.1267
0.176 1.54634 69.5804 71.1267
0.177 1.55762 69.5691 71.1267
0.178 1.56893 69.5578 71.1267
0.179 1.58026 69.5464 71.1267
0.18 1.59163 69.5351 71.1267
0.181 1.60303 69.5237 71.1267
0.182 1.61447 69.5122 71.1267
0.183 1.62593 69.5008 71.1267
0.184 1.63744 69.4893 71.1267
0.185 1.64897 69.4777 71.1267
0.186 1.66054 69.4662 71.1267
0.187 1.67215 69.4546 71.1267
0.188 1.68379 69.4429 71.1267
0.189 1.69547 69.4312 71.1267
0.19 1.70718 69.4195 71.1267
0.191 1.71894 69.4078 71.1267
0.192 1.73073 69.396 71.1267
0.193 1.74257 69.3841 71.1267
0.194 1.75444 69.3723 71.1267
0.195 1.76636 69.3604 71.1267
0.196 1.77831 69.3484 71.1267
0.197 1.79031 69.3364 71.1267
0.198 1.80235 69.3244 71.1267
0.199 1.81444 69.3123 71.1267
0.2 1.82657 69.3001 71.1267
0.201 1.83875 69.288 71.1267
0.202 1.85097 69.2757 71.1267
0.203 1.86323 69.2635 71.1267
0.204 1.87555 69.2512 71.1267
0.205 1.88791 69.2388 71.1267
0.206 1.90032 69.2264 71.1267
0.207 1.91279 69.2139 71.1267
0.208 1.9253 69.2014 71.1267
0.209 1.93786 69.1889 71.1267
0.21 1.95047 69.1762 71.1267
0.211 1.96314 69.1636 71.1267
0.212 1.97586 69.1509 71.1267
0.213 1.98863 69.1381 71.1267
0.214 2.00146 69.1252 71.1267
0.215 2.01435 69.1124 71.1267
0.216 2.02729 69.0994 71.1267
0.217 2.04028 69.0864 71.1267
0.218 2.05334 69.0734 71.1267
0.219 2.06645 69.0603 71.1267
0.22 2.07962 69.0471 71.1267
0.221 2.09285 69.0339 71.1267
0.222 2.10615 69.0206 71.1267
0.223 2.1195 69.0072 71.1267
0.224 2.13292 68.9938 71.1267
0.225 2.1464 68.9803 71.1267
0.226 2.15994 68.9668 71.1267
0.227 2.17355 68.9532 71.1267
0.228 2.18723 68.9395 71.1267
0.229 2.20097 68.9257 71.1267
0.23 2.21477 68.9119 71.1267
0.231 2.22865 68.8981 71.1267
0.232 2.24259 68.8841 71.1267
0.233 2.2566 68.8701 71.1267
0.234 2.27068 68.856 71.1267
0.235 2.28484 68.8419 71.1267
0.236 2.29906 68.8277 71.1267
0.237 2.31336 68.8134 71.1267
0.238 2.32773 68.799 71.1267
0.239 2.34217 68.7845 71.1267
0.24 2.35669 68.77 71.1267
0.241 2.37128 68.7554 71.1267
0.242 2.38595 68.7408 71.1267
0.243 2.40069 68.726 71.1267
0.244 2.41551 68.7112 71.1267
0.245 2.43041 68.6963 71.1267
0.246 2.44539 68.6813 71.1267
0.247 2.46045 68.6663 71.1267
0.248 2.47559 68.6511 71.1267
0.249 2.49081 68.6359 71.1267
0.25 2.50611 68.6206 71.1267
0.251 2.52149 68.6052 71.1267
0.252 2.53695 68.5898 71.1267
0.253 2.5525 68.5742 71.1267
0.254 2.56813 68.5586 71.1267
0.255 2.58385 68.5429 71.1267
0.256 2.59965 68.5271 71.1267
0.257 2.61554 68.5112 71.1267
0.258 2.63151 68.4952 71.1267
0.259 2.64757 68.4791 71.1267
0.26 2.66372 68.463 71.1267
0.261 2.67995 68.4468 71.1267
0.262 2.69627 68.4304 71.1267
0.263 2.71269 68.414 71.1267
0.264 2.72919 68.3975 71.1267
0.265 2.74578 68.3809 71.1267
0.266 2.76246 68.3643 71.1267
0.267 2.77923 68.3475 71.1267
0.268 2.79609 68.3306 71.1267
0.269 2.81305 68.3137 71.1267
0.27 2.83009 68.2966 71.1267
0.271 2.84723 68.2795 71.1267
0.272 2.86446 68.2623 71.1267
0.273 2.88179 68.2449 71.1267
0.274 2.8992 68.2275 71.1267
0.275 2.91671 68.21 71.1267
0.276 2.93432 68.1924 71.1267
0.277 2.95202 68.1747 71.1267
0.278 2.96981 68.1569 71.1267
0.279 2.98769 68.139 71.1267
0.28 3.00568 68.121 71.1267
0.281 3.02375 68.103 71.1267
0.282 3.04192 68.0848 71.1267
0.283 3.06019 68.0665 71.1267
0.284 3.07855 68.0482 71.1267
0.285 3.097 68.0297 71.1267
0.286 3.11555 68.0112 71.1267
0.287 3.1342 67.9925 71.1267
0.288 3.15294 67.9738 71.1267
0.289 3.17178 67.9549 71.1267
0.29 3.19071 67.936 71.1267
0.291 3.20973 67.917 71.1267
0.292 3.22885 67.8979 71.1267
0.293 3.24807 67.8786 71.1267
0.294 3.26738 67.8593 71.1267
0.295 3.28678 67.8399 71.1267
0.296 3.30628 67.8204 71.1267
0.297 3.32587 67.8008 71.1267
0.298 3.34556 67.7812 71.1267
0.299 3.36534 67.7614 71.1267
0.3 3.38522 67.7415 71.1267
0.301 3.40518 67.7215 71.1267
0.302 3.42524 67.7015 71.1267
0.303 3.44539 67.6813 71.1267
0.304 3.46564 67.6611 71.1267
0.305 3.48597 67.6407 71.1267
0.306 3.5064 67.6203 71.1267
0.307 3.52691 67.5998 71.1267
0.308 3.54752 67.5792 71.1267
0.309 3.56822 67.5585 71.1267
0.31 3.589 67.5377 71.1267
0.311 3.60988 67.5168 71.1267
0.312 3.63084 67.4959 71.1267
0.313 3.65189 67.4748 71.1267
0.314 3.67303 67.4537 71.1267
0.315 3.69426 67.4325 71.1267
0.316 3.71557 67.4111 71.1267
0.317 3.73696 67.3897 71.1267
0.318 3.75844 67.3683 71.1267
0.319 3.78001 67.3467 71.1267
0.32 3.80166 67.3251 71.1267
0.321 3.82339 67.3033 71.1267
0.322 3.8452 67.2815 71.1267
0.323 3.8671 67.2596 71.1267
0.324 3.88907 67.2376 71.1267
0.325 3.91112 67.2156 71.1267
0.326 3.93326 67.1935 71.1267
0.327 3.95547 67.1712 71.1267
0.328 3.97776 67.149 71.1267
0.329 4.00012 67.1266 71.1267
0.33 4.02256 67.1041 71.1267
0.331 4.04508 67.0816 71.1267
0.332 4.06767 67.059 71.1267
0.333 4.09033 67.0364 71.1267
0.334 4.11307 67.0136 71.1267
0.335 4.13588 66.9908 71.1267
0.336 4.15876 66.968 71.1267
0.337 4.18171 66.945 71.1267
0.338 4.20472 66.922 71.1267
0.339 4.22781 66.8989 71.1267
0.34 4.25096 66.8758 71.1267
0.341 4.27418 66.8525 71.1267
0.342 4.29747 66.8292 71.1267
0.343 4.32082 66.8059 71.1267
0.344 4.34423 66.7825 71.1267
0.345 4.3677 66.759 71.1267
0.346 4.39124 66.7355 71.1267
0.347 4.41484 66.7119 71.1267
0.348 4.4385 66.6882 71.1267
0.349 4.46222 66.6645 71.1267
0.35 4.48599 66.6407 71.1267
0.351 4.50982 66.6169 71.1267
0.352 4.53371 66.593 71.1267
0.353 4.55766 66.5691 71.1267
0.354 4.58166 66.5451 71.1267
0.355 4.60571 66.521 71.1267
0.356 4.62982 66.4969 71.1267
0.357 4.65397 66.4727 71.1267
0.358 4.67818 66.4485 71.1267
0.359 4.70244 66.4243 71.1267
0.36 4.72675 66.4 71.1267
0.361 4.7511 66.3756 71.1267
0.362 4.7755 66.3512 71.1267
0.363 4.79995 66.3268 71.1267
0.364 4.82445 66.3023 71.1267
0.365 4.84899 66.2777 71.1267
0.366 4.87357 66.2531 71.1267
0.367 4.89819 66.2285 71.1267
0.368 4.92286 66.2038 71.1267
0.369 4.94757 66.1791 71.1267
0.37 4.97232 66.1544 71.1267
0.371 4.99711 66.1296 71.1267
0.372 5.02194 66.1048 71.1267
0.373 5.0468 66.0799 71.1267
0.374 5.07171 66.055 71.1267
0.375 5.09664 66.0301 71.1267
0.376 5.12162 66.0051 71.1267
0.377 5.14663 65.9801 71.1267
0.378 5.17167 65.955 71.1267
0.379 5.19675 65.93 71.1267
0.38 5.22186 65.9049 71.1267
0.381 5.247 65.8797 71.1267
0.382 5.27217 65.8545 71.1267
0.383 5.29737 65.8293 71.1267
0.384 5.3226 65.8041 71.1267
0.385 5.34786 65.7789 71.1267
0.386 5.37315 65.7536 71.1267
0.387 5.39846 65.7282 71.1267
0.388 5.42381 65.7029 71.1267
0.389 5.44917 65.6775 71.1267
0.39 5.47457 65.6521 71.1267
0.391 5.49999 65.6267 71.1267
0.392 5.52543 65.6013 71.1267
0.393 5.55089 65.5758 71.1267
0.394 5.57638 65.5503 71.1267
0.395 5.60189 65.5248 71.1267
0.396 5.62743 65.4993 71.1267
0.397 5.65298 65.4737 71.1267
0.398 5.67855 65.4482 71.1267
0.399 5.70415 65.4226 71.1267
0.4 5.72976 65.3969 71.1267
0.401 5.75539 65.3713 71.1267
0.402 5.78105 65.3457 71.1267
0.403 5.80671 65.32 71.1267
0.404 5.8324 65.2943 71.1267
0.405 5.8581 65.2686 71.1267
0.406 5.88382 65.2429 71.1267
0.407 5.90956 65.2172 71.1267
0.408 5.93531 65.1914 71.1267
0.409 5.96107 65.1656 71.1267
0.41 5.98685 65.1399 71.1267
0.411 6.01264 65.1141 71.1267
0.412 6.03845 65.0883 71.1267
0.413 6.06427 65.0624 71.1267
0.414 6.0901 65.0366 71.1267
0.415 6.11595 65.0108 71.1267
0.416 6.1418 64.9849 71.1267
0.417 6.16767 64.959 71.1267
0.418 6.19355 64.9332 71.1267
0.419 6.21944 64.9073 71.1267
0.42 6.24534 64.8814 71.1267
0.421 6.27125 64.8555 71.1267
0.422 6.29717 64.8295 71.1267
0.423 6.3231 64.8036 71.1267
0.424 6.34904 64.7777 71.1267
0.425 6.37499 64.7517 71.1267
0.426 6.40095 64.7258 71.1267
