# t K U E
0 7.19989e-06 24.0002 24.0002
0.001 2.87996e-05 24.0002 24.0002
0.002 6.4799e-05 24.0001 24.0002
0.003 0.000115198 24.0001 24.0002
0.004 0.000179997 24 24.0002
0.005 0.000259195 23.9999 24.0002
0.006 0.000352793 23.9998 24.0002
0.007 0.00046079 23.9997 24.0002
0.008 0.000583187 23.9996 24.0002
0.009 0.000719982 23.9995 24.0002
0.01 0.000871177 23.9993 24.0002
0.011 0.00103677 23.9992 24.0002
0.012 0.00121676 23.999 24.0002
0.013 0.00141115 23.9988 24.0002
0.014 0.00161994 23.9986 24.0002
0.015 0.00184313 23.9983 24.0002
0.016 0.00208071 23.9981 24.0002
0.017 0.00233269 23.9979 24.0002
0.018 0.00259907 23.9976 24.0002
0.019 0.00287984 23.9973 24.0002
0.02 0.00317501 23.997 24.0002
0.021 0.00348458 23.9967 24.0002
0.022 0.00380854 23.9964 24.0002
0.023 0.0041469 23.996 24.0002
0.024 0.00449965 23.9957 24.0002
0.025 0.0048668 23.9953 24.0002
0.026 0.00524834 23.9949 24.0002
0.027 0.00564427 23.9945 24.0002
0.028 0.0060546 23.9941 24.0002
0.029 0.00647932 23.9937 24.0002
0.03 0.00691843 23.9933 24.0002
0.031 0.00737194 23.9928 24.0002
0.032 0.00783983 23.9924 24.0002
0.033 0.00832212 23.9919 24.0002
0.034 0.00881879 23.9914 24.0002
0.035 0.00932985 23.9909 24.0002
0.036 0.00985531 23.9903 24.0002
0.037 0.0103951 23.9898 24.0002
0.038 0.0109494 23.9892 24.0002
0.039 0.011518 23.9887 24.0002
0.04 0.012101 23.9881 24.0002
0.041 0.0126984 23.9875 24.0002
0.042 0.0133101 23.9869 24.0002
0.043 0.0139363 23.9863 24.0002
0.044 0.0145768 23.9856 24.0002
0.045 0.0152318 23.985 24.0002
0.046 0.0159011 23.9843 24.0002
0.047 0.0165847 23.9836 24.0002
0.048 0.0172828 23.9829 24.0002
0.049 0.0179952 23.9822 24.0002
0.05 0.0187221 23.9815 24.0002
0.051 0.0194632 23.9807 24.0002
0.052 0.0202188 23.98 24.0002
0.053 0.0209888 23.9792 24.0002
0.054 0.0217731 23.9784 24.0002
0.055 0.0225718 23.9776 24.0002
0.056 0.0233849 23.9768 24.0002
0.057 0.0242123 23.976 24.0002
0.058 0.0250541 23.9751 24.0002
0.059 0.0259103 23.9743 24.0002
0.06 0.0267808 23.9734 24.0002
0.061 0.0276658 23.9725 24.0002
0.062 0.028565 23.9716 24.0002
0.063 0.0294787 23.9707 24.0002
0.064 0.0304067 23.9698 24.0002
0.065 0.0313491 23.9688 24.0002
0.066 0.0323058 23.9679 24.0002
0.067 0.0332769 23.9669 24.0002
0.068 0.0342624 23.9659 24.0002
0.069 0.0352622 23.9649 24.0002
0.07 0.0362764 23.9639 24.0002
0.071 0.0373049 23.9629 24.0002
0.072 0.0383478 23.9618 24.0002
0.073 0.039405 23.9608 24.0002
0.074 0.0404766 23.9597 24.0002
0.075 0.0415626 23.9586 24.0002
